d,n_train,seed,noise_frac,sigma,tau_true,A_hat,tau_hat,G_dagger,G_star,fits,rmse,G_bullet,A_anchor,tau_target,A_ratio,tau_ratio,delta_proxy
20,4800,8,0.1,0.059840260357788236,0.0035808567596878824,0.23951310067508141,0.0035969513990020577,3.6932664440475067,15,8,0.016114287165788832,3.6556768416552186,0.25402328895752446,0.004182775863372393,0.9428785118797933,0.859943615554382,2.9303011313871336e-08
20,4800,9,0.1,0.06751470124094604,0.004558234883654201,0.3270978859297125,0.00460071940946944,3.7202539032709523,15,8,0.01779943877709228,3.6556768416552186,0.25402328895752446,0.004182775863372393,1.2876688876522928,1.0999201391011366,8.444280408275622e-08
20,4800,10,0.1,0.06764539851686156,0.004575899940505016,0.30327174691948877,0.004785660861701013,3.673002732341134,15,8,0.01975701921030072,3.6556768416552186,0.25402328895752446,0.004182775863372393,1.19387379072239,1.1441351432688387,6.3396249423995415e-09
20,4800,11,0.1,0.0627371601799309,0.003935951267442308,0.2777346430052311,0.003798782564810632,3.7318207695007577,15,8,0.018588654800189078,3.6556768416552186,0.25402328895752446,0.004182775863372393,1.0933432290598812,0.9081965395458307,1.1622016428903192e-07
20,4800,12,0.1,0.05931477328171219,0.003518242329460918,0.23028309195361138,0.0035169607335405182,3.686375143214758,15,8,0.016699155360294607,3.6556768416552186,0.25402328895752446,0.004182775863372393,0.9065432264051871,0.8408197925061525,1.966437098143434e-08
20,4800,13,0.1,0.06594118940937511,0.004348240460723084,0.23593088292039643,0.004302491954915804,3.6144370090119646,15,8,0.01919837175740923,3.6556768416552186,0.25402328895752446,0.004182775863372393,0.9287765853620088,1.0286212064556786,3.7902220040308705e-08
20,4800,14,0.1,0.06744908582207461,0.004549379178233586,0.21385634337592033,0.0045693075544442924,3.551378794608142,15,8,0.019169378349432855,3.6556768416552186,0.25402328895752446,0.004182775863372393,0.8418769170872341,1.0924103283794546,2.5743533074774915e-07
20,4800,15,0.1,0.06619592842597914,0.004381900940177354,0.29358558591232903,0.004438859435234485,3.6904977147541156,15,8,0.018640903849272094,3.6556768416552186,0.25402328895752446,0.004182775863372393,1.15574279475383,1.0612233550701475,2.5207476296357136e-08
20,4800,16,0.1,0.06444124176564622,0.004152673640298467,0.2741003253501691,0.004036395998862105,3.7013270991195144,15,8,0.0176911493603139,3.6556768416552186,0.25402328895752446,0.004182775863372393,1.079036203629352,0.9650041337877788,4.290901491592206e-08
20,4800,17,0.1,0.05886878640603285,0.003465534012919118,0.24007621508033994,0.0034404272467449654,3.7125378743780173,15,8,0.015709441333526225,3.6556768416552186,0.25402328895752446,0.004182775863372393,0.9450952944731118,0.8225224968117455,6.59149606953909e-08
20,4800,18,0.1,0.06786842325817581,0.004606122875550899,0.2737375427198703,0.004525562153443052,3.654043164232196,15,8,0.01742531377437684,3.6556768416552186,0.25402328895752446,0.004182775863372393,1.0776080565024189,1.0819518667190273,5.7342167553977794e-11
20,4800,19,0.1,0.06635889188495482,0.0044035025321991226,0.2711900169248336,0.004234027466978068,3.6773561669148513,15,8,0.018611613295337028,3.6556768416552186,0.25402328895752446,0.004182775863372393,1.067579346908541,1.0122530121813298,9.88688938370326e-09
20,9600,0,0.1,0.06336978431478918,0.004015729564102901,0.27974818931964146,0.00400061223561381,4.010690199482836,15,8,0.012452782774960858,3.9437410415247447,0.25402328895752446,0.004226969622001742,1.1012698499719784,0.9464492516790937,4.260389995429197e-08
20,9600,1,0.1,0.061248945255992594,0.0037514332949715777,0.16918544099416072,0.0037302890530811726,3.82232816113666,15,8,0.01283051788908805,3.9437410415247447,0.25402328895752446,0.004226969622001742,0.6660233464753321,0.8824972466479758,1.647122205609164e-07
20,9600,2,0.1,0.060927573328864865,0.003712169191744205,0.2334546695107096,0.003830169199719804,3.949941355834118,15,8,0.011889939853756108,3.9437410415247447,0.25402328895752446,0.004226969622001742,0.9190286074508146,0.9061265024909197,3.842643717395897e-10
20,9600,3,0.1,0.06220550590807879,0.003869524965280025,0.15565984295816032,0.00377241796685611,3.7823812893680064,15,8,0.012821516550219236,3.9437410415247447,0.25402328895752446,0.004226969622001742,0.6127778425236766,0.8924639408857704,3.0175644449164946e-07
20,9600,4,0.1,0.06917412290809521,0.004785059280104263,0.2957914008625586,0.004665597948781915,3.9672533882053473,15,8,0.012847387357852685,3.9437410415247447,0.25402328895752446,0.004226969622001742,1.1644263094003884,1.1037689801452732,5.446331354780191e-09
20,9600,5,0.1,0.06451104238409587,0.0041616745894826135,0.2455703691375849,0.004090262192786429,3.9433178274140332,15,8,0.011375871243807106,3.9437410415247447,0.25402328895752446,0.004226969622001742,0.9667238391620345,0.9676582891668444,1.8014408053376035e-12
20,9600,6,0.1,0.0655153772371103,0.004292264654520871,0.24884364864391692,0.004211038936253722,3.9363753459919946,15,8,0.01252587411213721,3.9437410415247447,0.25402328895752446,0.004226969622001742,0.9796095848736387,0.9962311804501506,5.485842242980172e-10
20,9600,7,0.1,0.06738999886242888,0.004541411946678167,0.282374000731084,0.004621223619474902,3.951036066779309,15,8,0.013342003747281332,3.9437410415247447,0.25402328895752446,0.004226969622001742,1.1116067423971512,1.093271074251642,5.314452596527283e-10
20,9600,8,0.1,0.06038404260267789,0.003646232601042019,0.23958730058361558,0.0035773138705754407,3.9915130411919915,15,8,0.011707770128507327,3.9437410415247447,0.25402328895752446,0.004226969622001742,0.9431706107217487,0.8463069741393959,2.203575695980571e-08
20,9600,9,0.1,0.0670417992984855,0.004494602853178411,0.3142970200993137,0.00453480206367486,4.006732514788337,15,8,0.012533043719625441,3.9437410415247447,0.25402328895752446,0.004226969622001742,1.2372763985111133,1.0728257993790216,3.783770444742171e-08
