family,d,density,n_eff,n_train,seed,structure,G,fits,time,rmse
pairwise,20,180,10,1800,4,pairwise,3,9,0.12045955399980812,0.005463862366323432
pairwise,20,240,10,2400,0,pairwise,3,9,0.20732123400011915,0.004810607926491512
pairwise,20,240,10,2400,1,pairwise,3,9,0.17444930200008457,0.005106865743535642
pairwise,20,240,10,2400,2,pairwise,5,10,0.25278123399994,0.005856133155826741
pairwise,20,240,10,2400,3,pairwise,3,9,0.17063850300019112,0.005190010584784409
pairwise,20,240,10,2400,4,pairwise,3,9,0.1753953540001021,0.004873036389815064
pairwise,20,360,10,3600,0,pairwise,3,9,0.34528326800000286,0.004215170548630018
pairwise,20,360,10,3600,1,pairwise,3,9,0.2952054029997271,0.004237417038890164
pairwise,20,360,10,3600,2,pairwise,3,9,0.3454883310000696,0.004571224928241957
pairwise,20,360,10,3600,3,pairwise,3,10,0.30536835299972154,0.004306266625387076
pairwise,20,360,10,3600,4,pairwise,3,9,0.3351429710000957,0.004551150215344147
pairwise,20,480,10,4800,0,pairwise,3,9,0.4708425110002281,0.0039042692198650716
pairwise,20,480,10,4800,1,pairwise,3,9,0.5305167649999021,0.00409274253928725
pairwise,20,480,10,4800,2,pairwise,3,9,0.4842530020000595,0.003993492237898594
pairwise,20,480,10,4800,3,pairwise,3,9,0.5395578950001436,0.004100593072209223
pairwise,20,480,10,4800,4,pairwise,3,10,0.49594178600000305,0.00413684868117539
pairwise,20,720,10,7200,0,pairwise,5,13,1.5313238799999453,0.0027082286526191094
pairwise,20,720,10,7200,1,pairwise,5,12,1.2951371559997824,0.002735705160632173
pairwise,20,720,10,7200,2,pairwise,5,13,1.3369742579998274,0.0029844159078916774
pairwise,20,720,10,7200,3,pairwise,5,13,1.5386766709998483,0.002722000668802289
pairwise,20,720,10,7200,4,pairwise,5,12,1.306567626999822,0.002965628262305519
pairwise,40,60,20,1200,0,pairwise,1,7,0.1364077040002485,0.032384235377615936
pairwise,40,60,20,1200,1,pairwise,1,7,0.13565673099992637,0.031226366898691786
pairwise,40,60,20,1200,2,pairwise,1,7,0.13654995000024428,0.03497297448218428
