d,n_per_pair,seed,threshold,n_true,n_discovered,tp,fp,fn,precision,recall,f1,disc_rmse,oracle_rmse,rmse_ratio
10,480,3,0.05,5,5,5,0,0,1.0,1.0,1.0,0.0037795714315232033,0.0037795714315235077,0.9999999999999194
10,480,4,0.005,5,10,5,5,0,0.5,1.0,0.6666666666666666,0.005507334251981238,0.0047574504503389925,1.1576230397919987
10,480,4,0.01,5,10,5,5,0,0.5,1.0,0.6666666666666666,0.005507334251981238,0.0047574504503389925,1.1576230397919987
10,480,4,0.02,5,5,5,0,0,1.0,1.0,1.0,0.004757450450338755,0.0047574504503389925,0.99999999999995
10,480,4,0.05,5,5,5,0,0,1.0,1.0,1.0,0.004757450450338755,0.0047574504503389925,0.99999999999995
20,120,0,0.005,10,20,10,10,0,0.5,1.0,0.6666666666666666,0.03299470716879995,0.007129166606895234,4.628129624139786
20,120,0,0.01,10,20,10,10,0,0.5,1.0,0.6666666666666666,0.03299470716879995,0.007129166606895234,4.628129624139786
20,120,0,0.02,10,20,10,10,0,0.5,1.0,0.6666666666666666,0.03299470716879995,0.007129166606895234,4.628129624139786
20,120,0,0.05,10,10,10,0,0,1.0,1.0,1.0,0.0071291666068946545,0.007129166606895234,0.9999999999999187
20,120,1,0.005,10,20,10,10,0,0.5,1.0,0.6666666666666666,0.0329107655594387,0.0069921063916547335,4.706845650792525
20,120,1,0.01,10,20,10,10,0,0.5,1.0,0.6666666666666666,0.0329107655594387,0.0069921063916547335,4.706845650792525
20,120,1,0.02,10,20,10,10,0,0.5,1.0,0.6666666666666666,0.0329107655594387,0.0069921063916547335,4.706845650792525
20,120,1,0.05,10,10,10,0,0,1.0,1.0,1.0,0.006992106391665223,0.0069921063916547335,1.0000000000015004
20,120,2,0.005,10,20,10,10,0,0.5,1.0,0.6666666666666666,0.030782405909309665,0.006691891754658966,4.599955743139245
20,120,2,0.01,10,20,10,10,0,0.5,1.0,0.6666666666666666,0.030782405909309665,0.006691891754658966,4.599955743139245
20,120,2,0.02,10,20,10,10,0,0.5,1.0,0.6666666666666666,0.030782405909309665,0.006691891754658966,4.599955743139245
20,120,2,0.05,10,10,10,0,0,1.0,1.0,1.0,0.006691891754671395,0.006691891754658966,1.0000000000018574
