family,d,density,n_train,seed,kore_structure,kore_G,kore_fits,kore_time,kore_rmse,cv_structure,cv_G,cv_fits,cv_time,cv_rmse,gcv_structure,gcv_G,gcv_fits,gcv_time,gcv_rmse,aic_structure,aic_G,aic_fits,aic_time,aic_rmse,bic_structure,bic_G,bic_fits,bic_time,bic_rmse,cp_structure,cp_G,cp_fits,cp_time,cp_rmse,structure_correct_kore,structure_correct_cv,structure_correct_gcv,structure_correct_aic,structure_correct_bic,structure_correct_cp
pairwise,20,240,2400,0,pairwise,3,9,0.18503121100002318,0.004981391208917625,pairwise,3,91,2.7736107420000735,0.0049813912089393545,pairwise,3,29,1.4153256570002668,0.0049813912089393545,pairwise,5,29,1.4153256570002668,0.005385157262192306,pairwise,3,29,1.4153256570002668,0.0049813912089393545,pairwise,3,29,1.4153256570002668,0.0049813912089393545,1,1,1,1,1,1
pairwise,20,240,2400,1,pairwise,3,9,0.19169521200001327,0.005202754222912009,pairwise,3,91,2.7949223970003914,0.005202754222908515,pairwise,3,29,1.413028302999919,0.005202754222908515,pairwise,5,29,1.413028302999919,0.005481699158087557,pairwise,3,29,1.413028302999919,0.005202754222908515,pairwise,3,29,1.413028302999919,0.005202754222908515,1,1,1,1,1,1
pairwise,20,240,2400,2,pairwise,3,9,0.1777839960000165,0.005117927198289145,pairwise,3,91,2.680151351999939,0.005117927198314407,pairwise,3,29,1.3700081109996063,0.005117927198314407,pairwise,5,29,1.3700081109996063,0.005043058418788011,pairwise,3,29,1.3700081109996063,0.005117927198314407,pairwise,3,29,1.3700081109996063,0.005117927198314407,1,1,1,1,1,1
pairwise,20,240,2400,3,pairwise,3,9,0.17896681899992473,0.004855471496157511,pairwise,3,91,2.733857014000023,0.004855471496170337,pairwise,3,29,1.3825128599996788,0.004855471496170337,pairwise,5,29,1.3825128599996788,0.0053275866939828794,pairwise,3,29,1.3825128599996788,0.004855471496170337,pairwise,3,29,1.3825128599996788,0.004855471496170337,1,1,1,1,1,1
pairwise,20,240,2400,4,pairwise,3,9,0.18291866600020512,0.004769523726621808,pairwise,3,91,2.7634936819999893,0.004769523726603535,pairwise,3,29,1.3926635369998621,0.004769523726603535,pairwise,5,29,1.3926635369998621,0.005369082660880243,pairwise,3,29,1.3926635369998621,0.004769523726603535,pairwise,3,29,1.3926635369998621,0.004769523726603535,1,1,1,1,1,1
pairwise,40,240,4800,0,pairwise,3,9,1.0370666640001218,0.00514868152056349,pairwise,3,91,16.52922583099962,0.005148681520558274,pairwise,3,29,6.957489316999727,0.005148681520558274,pairwise,5,29,6.957489316999727,0.005368349744717135,pairwise,3,29,6.957489316999727,0.005148681520558274,pairwise,3,29,6.957489316999727,0.005148681520558274,1,1,1,1,1,1
pairwise,40,240,4800,1,pairwise,3,9,1.046066602999872,0.004967931991262376,pairwise,3,91,16.862210460999904,0.004967931991241447,pairwise,3,29,6.596530510999855,0.004967931991241447,pairwise,5,29,6.596530510999855,0.005269914361750159,pairwise,3,29,6.596530510999855,0.004967931991241447,pairwise,3,29,6.596530510999855,0.004967931991241447,1,1,1,1,1,1
pairwise,40,240,4800,2,pairwise,3,9,1.0718880650001665,0.005120764653906734,pairwise,3,91,16.996275782999874,0.0051207646538946215,pairwise,3,29,6.730363492999913,0.0051207646538946215,pairwise,5,29,6.730363492999913,0.005349906522073158,pairwise,3,29,6.730363492999913,0.0051207646538946215,pairwise,3,29,6.730363492999913,0.0051207646538946215,1,1,1,1,1,1
pairwise,40,240,4800,3,pairwise,3,9,1.0644094200001746,0.005089125704517868,pairwise,3,91,14.780648442000256,0.005089125704561525,pairwise,3,29,5.673884185000134,0.005089125704561525,pairwise,5,29,5.673884185000134,0.005243333752619741,pairwise,3,29,5.673884185000134,0.005089125704561525,pairwise,3,29,5.673884185000134,0.005089125704561525,1,1,1,1,1,1
pairwise,40,240,4800,4,pairwise,3,9,1.0747144899996783,0.005248076554886966,pairwise,3,91,14.772869183999774,0.005248076554941532,pairwise,3,29,5.674652936000257,0.005248076554941532,pairwise,5,29,5.674652936000257,0.0055154757983062516,pairwise,3,29,5.674652936000257,0.005248076554941532,pairwise,3,29,5.674652936000257,0.005248076554941532,1,1,1,1,1,1
