method,dataset,rmse_median,rmse_iqr_lo,rmse_iqr_hi,r2_median,r2_iqr_lo,r2_iqr_hi,mae_median,mae_iqr_lo,mae_iqr_hi,nrmse_median,nrmse_iqr_lo,nrmse_iqr_hi,cnl_median,cnl_iqr_lo,cnl_iqr_hi,fit_time_median,fit_time_total,n_fits_median,used_defaults_frac,used_constant_predictor_frac,family,n_seeds
gcv_spline,forest_fires,43.337260927023856,31.117997726646355,44.02278353688991,-0.4934553930267908,-0.7635985788169828,-0.3642216908704445,26.03818309888409,21.378313928056507,26.75797776212909,0.6310715300666198,0.4436777069967096,0.6397676379770277,0.0,0.0,0.0,4.871295597000426,24.35166128700257,21.0,0.0,0.0,spline,5
gcv_spline,solar_flare,0.6732955368917966,0.6385356064726136,0.6929470563479504,0.1590830445395615,0.1395851550529471,0.2126872504419757,0.3690520820916911,0.3663097737793158,0.3941247088716971,0.78442175738084,0.727056111520721,0.819147143799915,0.0,0.0,4.9511827491122655e-05,5.277514765999513,26.383120083000904,21.0,0.0,0.0,spline,5
gcv_spline,student_performance_por,3.056520830381216,2.8631711046781927,3.2966232871751777,-0.0001026231417649,-0.0286737469462705,-1.2494469938451049e-05,2.2184822884244846,2.1546909737661184,2.316362827923522,0.9347853450053658,0.864144760932258,1.0259765508005363,0.0,0.0,0.0,9.03627985699859,45.38909570299802,0.0,0.0,1.0,spline,5
gcv_spline,socmob,20.2317092212716,15.633483426012123,20.889919398335014,0.7856541345899922,0.7337973011758869,0.785855210145108,10.202819575313312,9.79383158190394,11.40846456670273,0.479777212289265,0.36186113491971,0.523923361101633,0.001860377355846042,0.0013387769814442627,0.0025336547418991083,26.43203402299877,131.8638218419983,21.0,0.0,0.0,spline,5
gcv_spline,Moneyball,93.87003731228914,92.4681466953502,94.31689038494616,-0.0021471964583308,-0.0028704569255075,-0.0004942557762515,74.3305657740603,74.1730450687437,74.45901066606382,1.0326808726683196,1.013271018373689,1.0390023867992118,0.0,0.0,0.0,34.29376156199942,171.61618147199806,0.0,0.0,1.0,spline,5
gcv_spline,wave_energy,805.9985523038321,686.6395960232767,1157.8994068743812,0.9999400390738652,0.999884908993761,0.9999625159722516,79.18642070866748,72.90403737074416,91.7982014244804,0.007227612903237,0.006267627161905,0.0104685684397738,0.0,0.0,0.0,90.95860450700091,454.82038230200124,21.0,0.0,0.0,spline,5
gcv_spline,brazilian_houses,8812.89032165644,8508.00417325337,14298.87800641576,-2.70873636710404,-9.98546055570489,-2.338656382856152,2174.4295174039767,2165.2397016277955,2426.8742178611205,1.0289228245950193,0.9945321029443532,1.6627905829556198,0.0,0.0,0.0,101.14303055100028,506.21985741200115,21.0,0.0,0.0,spline,5
gcv_spline,superconductivity,34.77984600552873,34.34280138652944,35.21133298869814,-0.0008983928632795,-0.0027522065955345,-7.01798501341333e-05,29.48948020644,29.40752254492,29.83245488508,1.0108615845936206,0.9950149240094824,1.026778304106461,0.0,0.0,0.0,103.86581995300004,519.3117741490023,0.0,0.0,1.0,spline,5
gcv_spline,geographical_origin_of_music,18.33548876858288,17.849147785543718,18.738621753457128,-0.0020876850375779,-0.0121464302928222,-0.0014853604653641,15.199482078813125,15.02403026219064,15.227529404557703,0.9921591125443496,0.9594568181177467,1.0195860589766326,0.0,0.0,0.0,197.11421506399893,987.5654994949964,0.0,0.0,1.0,spline,5
cv_spline,airfoil_self_noise,4.513505038970044,4.5052416087892215,4.548846582575393,0.549796423800464,0.5173488713516263,0.584865067827361,3.5289421191107047,3.51070196746037,3.553400136574259,0.651636176351023,0.6502111547753043,0.6572939802799016,0.03301446754662129,0.03138764606063888,0.051027664908139814,0.730018548998487,4.363095610997334,79.0,0.0,0.0,spline,5
cv_spline,combined_cycle_power_plant,4.113626401973634,4.059041715051815,4.214387373583482,0.9417351935543457,0.9398990535620446,0.9447872041791102,3.326879379951972,3.280808504410393,3.334742359821489,0.2401010719852859,0.2386311593401305,0.2488028252104223,0.008464710986920455,0.007209866439526216,0.008976087657951218,0.4425442690007912,2.202598552001291,79.0,0.0,0.0,spline,5
cv_spline,QSAR_fish_toxicity,0.9093336725307072,0.8432721844868397,0.9098688761440756,0.6069790577077121,0.5601433623991814,0.6155328363589725,0.671577031941652,0.652527358425251,0.6740474637641428,0.6151194487108308,0.5723339031358051,0.6168818337211335,0.016225982645779877,0.00717983087045251,0.017870352666636873,1.218539707000673,6.051395576001596,79.0,0.0,0.0,spline,5
cv_spline,space_ga,0.1094549196827789,0.1088463078247449,0.1152241957138091,0.6928128794296072,0.6811468942844503,0.7103989538511717,0.0817692691486014,0.0792998887589706,0.0831856705126316,0.5423353105542615,0.5347694456008348,0.5832301539713731,0.04060178416216701,0.03684329829449321,0.05278086376710929,1.750822246000098,8.712064268001996,79.0,0.0,0.0,spline,5
cv_spline,energy_efficiency,0.472996114618391,0.4491671947962542,0.4808807388082825,0.9978711031406504,0.9977846485969456,0.9980653125006824,0.3555596292111602,0.3502880380666386,0.3650708281424815,0.0469276520694617,0.045034458692976,0.0481209159116739,0.015792056390010387,0.013585545754775975,0.01669650415850214,4.651306697998734,23.269436688997303,79.0,0.0,0.0,spline,5
cv_spline,concrete_compressive_strength,5.9600520799171965,5.659681165225267,6.047832408477891,0.8771570055657554,0.8593751634889091,0.8798281490627895,4.511552610833206,4.455430290353434,4.625814401082168,0.3588027512559437,0.3372769861924053,0.3592178437004367,0.038779656685404985,0.0383616318624674,0.046396770244776744,4.921475417999318,25.158222267000383,79.0,0.0,0.0,spline,5
cv_spline,california_housing,63149.20162527307,61173.425320475726,64546.69285525672,0.6843632811552598,0.6458772181550406,0.6913043142972937,46724.433784009,45692.71411553517,47052.369524123256,0.5654946046621763,0.5370038376270098,0.583185960057236,0.006078404902614492,0.003723718096122363,0.0061847100597320435,6.394065993999902,31.941232449997187,79.0,0.0,0.0,spline,5
cv_spline,kin8nm,0.1935348601178878,0.1832443309411901,0.1936027264984413,0.4734544913109715,0.4516971391240396,0.4795531648860743,0.1559165499998154,0.149030663818038,0.1572313815214779,0.7358236681678764,0.6902002574260744,0.7404020939778795,0.005218638755741792,0.004113378902596442,0.005426591943407521,6.232787943999938,31.067467499002305,79.0,0.0,0.0,spline,5
cv_spline,student_performance_por,3.056520830381216,2.8631711046781927,3.2966232871751777,-0.0001026231417649,-0.0286737469462705,-1.2494469938451049e-05,2.2184822884244846,2.1546909737661184,2.316362827923522,0.9347853450053658,0.864144760932258,1.0259765508005363,0.0,0.0,0.0,10.167465422999156,51.26810872700116,0.0,0.0,1.0,spline,5
cv_spline,physiochemical_protein,5.113508765253062,5.039317524560389,5.172028661674111,0.3313694553901553,0.2845948025322896,0.3369167884979569,4.201854548377442,4.146340890248866,4.318056733636797,0.8240208492081799,0.8170888209458387,0.8431418846634154,0.0005309349021149404,0.00048642223708220903,0.0014276559395078295,10.756087742998716,53.06162738400236,79.0,0.0,0.0,spline,5
cv_spline,abalone,2.1606680078700515,2.14068393246879,2.2128900122564943,0.5724769060809469,0.5407774099953396,0.5735695027594081,1.5672704154468025,1.566028311075402,1.5682565359273786,0.6631203698565081,0.6613806867279022,0.6880646090774807,0.0008076907796089298,0.0003536551095076294,0.0012314260615552237,17.34896822600058,86.02946276000148,79.0,0.0,0.0,spline,5
cv_spline,red_wine,0.6645974154133956,0.6635545623289745,0.700869088604773,0.3386698864412782,0.2645133148128179,0.3491657010218557,0.5162427697719136,0.5161696902321999,0.5238566138105581,0.8258649902554831,0.8258595160099296,0.871406307483885,0.0,0.0,0.00033370556546397946,24.44312179699955,125.10683393799992,79.0,0.0,0.0,spline,5
cv_spline,white_wine,0.7041723540683946,0.6992368472818675,0.7282518444119216,0.3157788654996599,0.3013105492828741,0.3259089170764597,0.5577754037134678,0.5397578996758963,0.5649678885721123,0.8007183192389618,0.7893934380178113,0.8334399221869723,0.0020278072864392117,0.001766617541281142,0.0020309776897869045,28.2822749070001,141.1994010269991,79.0,0.0,0.0,spline,5
cv_spline,Moneyball,93.87003731228914,92.4681466953502,94.31689038494616,-0.0021471964583308,-0.0028704569255075,-0.0004942557762515,74.3305657740603,74.1730450687437,74.45901066606382,1.0326808726683196,1.013271018373689,1.0390023867992118,0.0,0.0,0.0,30.73592883099991,156.65451787799975,0.0,0.0,1.0,spline,5
cv_spline,cps88wages,304.4739599107652,303.1381979007082,328.08238809889593,0.3713139008386862,0.3678105034134638,0.3761323282103926,226.3737382572581,222.77342794364253,229.5839207100804,0.7292404124689369,0.7287859111650634,0.7983128444830684,0.0006040518956365057,0.0004910967783716527,0.0010158196576427105,51.62334179699974,244.61677583100027,79.0,0.0,0.0,spline,5
cv_spline,grid_stability,0.0141675641347792,0.0141556961523038,0.0142472307173653,0.8459926742900672,0.8445654739120528,0.8475378540101449,0.0110545920164131,0.0110346377317597,0.0111376558278764,0.3881431312489446,0.3867263699041438,0.3902281975779684,0.0037211118605901643,0.0036952089070765625,0.00401378781439116,61.26186769299966,287.12485176399605,79.0,0.0,0.0,spline,5
cv_spline,superconductivity,34.77984600552873,34.34280138652944,35.21133298869814,-0.0008983928632795,-0.0027522065955345,-7.01798501341333e-05,29.48948020644,29.40752254492,29.83245488508,1.0108615845936206,0.9950149240094824,1.026778304106461,0.0,0.0,0.0,81.10757547699905,407.045477095,0.0,0.0,1.0,spline,5
kore,miami_housing,149161.579162218,141343.232691005,150624.46101500312,0.8157050490049003,0.7968954970050129,0.8174929469313803,88793.1767097202,88088.90378548986,89789.35476365418,0.4648281006347264,0.4552946259962535,0.4761310469430702,0.11412832036278298,0.10379730767073973,0.11631652941922928,0.0571559699983481,0.2872528269981556,5.0,0.0,0.0,spline,5
kore,geographical_origin_of_music,18.429880494575645,18.03353167568517,18.898049300603088,-0.0331656319140101,-0.2163816600930281,-0.0185990592250777,14.37357930906258,14.361180203794664,14.816740411574902,0.9804594327601616,0.9693681249584336,1.028260661977084,0.0,0.0,0.0,0.0477112299995496,0.2380460270014734,1.0,0.0,0.0,spline,5
kore,grid_stability,0.0110401059989923,0.0106215982639488,0.0111754828712506,0.908850684537913,0.9012652571841456,0.9118889387035478,0.0080142268017143,0.0078813816672691,0.0082197024312278,0.2996722802518652,0.2903383190633857,0.3078149847372864,0.25248661186081667,0.24535474744240104,0.2593810291072947,0.1045929289994092,0.5239786249985626,6.0,0.0,0.0,spline,5
kore,cps88wages,304.2962886370765,302.06765563716465,328.03291902499853,0.3720474077023774,0.3680011352320895,0.3741398872582941,225.9917542195483,222.50088669866747,229.12092138567775,0.728814875017568,0.7262121803571999,0.7981924728979741,0.02996274851222206,0.02381700423658046,0.035978469472816244,0.111572077999881,0.5677907929966748,7.0,0.0,0.0,spline,5
kore,Moneyball,21.05022308287954,20.463741613045705,21.341842389215746,0.950186399473116,0.9489050701008892,0.9509185599704671,16.95351619605518,16.45143993981021,16.98175351913799,0.2318909363582936,0.2242428019272666,0.2359130336746248,0.001125047641972436,0.0,0.0012178490287599497,0.1312801889998809,0.6768494429998098,4.0,0.0,0.0,spline,5
kore,naval_propulsion_plant,2.446652418986381e-05,2.34905010688994e-05,3.011739436812768e-05,0.9999972535606264,0.9999957161002452,0.9999974863847936,1.7573163912051103e-05,1.737982146736239e-05,1.7802538125458066e-05,0.0016624873066476,0.0015977973089424,0.0020390983751319,0.13430277180848874,0.13404186998174808,0.13488790701871192,0.1738981679991411,0.8656941099980029,8.0,0.0,0.0,spline,5
